Winery,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
Krupp Brothers Estate,3267 Soda Canyon Road,Napa,www.kruppbrothersestates.com,226-2215,X,Yes,,,"Veraison, Black Bart",,,,,,,,
Kuleto Estate,2470 Sage Canyon Road,St. Helena,www.kuletoestate.com,963-9750,X,Yes,,Yes,,,,,,,,,
La Jota Vineyard Co,1102 Las Posadas Road,Angwin,www.lajotavineyardco.com,877 222-0292,X,Yes,,,Taste at Cardinale,,,,,,,,
La Sirena,P.O. Box 441,Calistoga,www.lasirenawine.com,942-1105,,Private,,,"Winemaker, Heidi Barret's label",,,,,,,,
Ladera Vineyards,50 White Cottage Road S,Angwin,www.laderavineyards.com,965-2445,X,Yes,Yes,BApp,Chateau Woltner,,,,,,,,
Lagier Meredith,4967 Dry Creek Road,Napa,www.lagiermeredith.com,253-0653,X,Private,,,Chester's Anvil Wines,,,,,,,,
Lail Vineyards,P.O. Box 249,Rutherford,www.lail-vineyards.com,968-9900,X,Private,,,MA(I)SONRY,,,,,,,,
Laird Family Estate,5055 Solano Avenue,Napa,www.lairdfamilyestate.com,257-0360x26,X,No,,BApp,,,,,,,,,
Lakeside Wine Company,3600 Wooden Valley Road,Napa,www.lakesidewinecompany.com,800 901-7829,,Private,,,"Interlude label, Dan & Marguerite",,,,,,,,
Lamborn Family Vineyards,Summit Lake Drive,Angwin,www.lamborn.com,925 254-0511,X,Yes,,,,,,,,,,,
Lampyridae Vineyards,P.O. Box 2649,Yountville,www.lampyridaevineyards.com,935-7112,X,Private,,,Highest vineyards on Mt. Veeder,,,,,,,,
Lang & Reed Wine Co.,P.O. Box 662,St. Helena,www.langandreed.com,963-7547,X,Private,,,,,,,,,,,
Larkin Wines,P.O. Box 3178,Yountville,www.larkinwines.com,944-9105,,Private,,,Also: jacklarkin.com & grandwines,,,,,,,,
Larkmead Vineyards,1100 Larkmead Lane,Calistoga,www.larkmead.com,942-0167,X,Yes,,BApp,Meadowlark Cellars,,,,,,,,
Las Bonitas,1245 Main St,Napa,www.vintnerscollective.com,255-7150,X,Yes,,No,Vintner's Collective label,,,,,,,,
Lateral Wine,,,www.lateralwine.com,,,,,,,,,,,,,,
LaTour Vineyards,7111 Dry Creek Road,Napa,www.latourvineyards.com,415 381-3935,X,Private,,,Taste at Winery Collective in SF,,,,,,,,
Lava Vine Vineyards,965 Silverado Trail,Calistoga,www.lavavine.com,942-9500,X,Private,,,,,,,,,,,
Leaf + Twig,,,www.leaftwig.com,,,,,,,,,,,,,,
Leo Joseph Estate Cellars,1475 Sulpher Springs Road,St. Helena,www.leojosephwines.com,963-0521,X,Private,,,,,,,,,,,
Levendi Estates,4225 Solano Ave Ste. 633,Napa,www.levendiestates.com,877 538-3634,X,Yes,,,,,,,,,,,
Levy & McClellan,P.O. Box 524,St. Helena,www.levymcclellan.com,963-1282,,Private,,,,,,,,,,,
Lewelling Vineyards,1951 Olive Ave,St. Helena,www.lewellingvineyards.com,963-1685,X,Private,,,,,,,,,,,
Lewis Cellars,4101 Big Ranch Road,Napa,www.lewiscellars.com,255-3400,,Private,,,Make 1 Betts & Scholl Syrah,,,,,,,,
Lieffe Wines,P.O. Box 587,Rutherford,www.lieffwines.com,415 407-0077,X,Private,,,,,,,,,,,
Lindstrom Wines,P.O. Box 3506,Yountville,www.lindstromwines.com,226-6289,X,Private,,,,,,,,,,,
Lions Run,P.O. Box 5750,Napa,www.lionsrun.com,287-0273,X,Yes,,,Taste at Ubuntu Annex,,,,,,,,
Liparita Cellars,410 Lafata Street #203,St. Helena,www.liparita.com,944-1869,X,Yes,,,,,,,,,,,
Little Lion Company,P.O. Box 321,St. Helena,www.littlelionwinecompany.com,968-5172,,Private,,,Volunteer & Two Faces labels,,,,,,,,
Lloyd Cellars,,St. Helena,www.lloydcellars.com,257-2797,,Private,,,Napa & Non Napa wine,,,,,,,,
Lobo Wines,2855 Atlas Peak Road,Napa,www.lobowines.com,224-8322,X,Private,,,,,,,,,,,
Lokoya,7600 Saint Helena Hwy,Oakville,www.lokoya.com,944-2807,X,Yes,,,TASTE AT CARDINALE,,,,,,,,
Long Meadow Ranch,1775 Whitehall Lane,St. Helena,www.longmeadowranch.com,963-4555,X,Yes,Yes,BApp,"Farmstead, St. Helena",,,,,,,,
Long Vineyards,P.O. Box 50,St. Helena,www.longvineyards.com,963-2496,X,Yes,,BApp,,,,,,,,,
Longfellow Wines,910 Enterprise Way #M,Napa,www.longfellowwines.com,888 533-5569,,Private,,,"VC, Sonoma & Napa fruit",,,,,,,,
Loomis Family Vineyards,65 Longhorn Ridge Road,Napa,www.loomisvineyards.com,415 882-9494,,Private,,,,,,,,,,,
Lorenza,,,www.lorenzawine.com,,,,,,Non Napa fruit??,,,,,,,,
Loubet Vineyards,"1111 Broadway, #2000",Oakland,www.loubetvineyards.com,510 986-6750,,Private,,,,,,,,,,,
Louis M. Martini,254 South St. Helena Hwy,St. Helena,www.louismartini.com,968-3361,X,No,,Yes,,,,,,,,,
Luis Ochoa Wines,,Napa,www.facebook.com/LuisOchoaFV,341-6780,X,Private,,,,,,,,,,,
Luna Vineyards,2921 Silverado Trail,Napa,www.lunavineyards.com,255-2474x22,X,No,,BApp,Arnold Palmer,,,,,,,,
Lunar Ridge,3087 Coombsville Road,Napa,www.lunarridgewine.com,257-2210,,Private,,,,,,,,,,,
Macauley Vineyards,P.O. Box 398,Rutherford,www.macauleyvineyard.com,963-0263,X,Private,,,,,,,,,,,
Maclean Wines,P.O. Box 10944,Napa,www.macleanwines.com,258-0729,,Private,,,,,,,,,,,
Madonna Estate,5400 Old Sonoma Road,Napa,www.madonnaestate.com,255-8864,X,No,,BApp,Mont St. John Label,,,,,,,,
Madorom Vineyards,1112 Scenic Place,Napa,www.madorom.com,265-8332,,Private,,,,,,,,,,,
Madrigal Vineyards,3718 N St. Helena Highway,St. Helena,www.madrigalvineyards.com,942-6577,X,Yes,,,NAPA WINE CO,,,,,,,,
Magie Rouge,,,www.magierougewine.com,,,,,,,,,,,,,,
Maldonado Vineyards,3070 Lawley-Old Toll Road,Calistoga,www.maldonadovineyards.com,287-4621,X,Yes,,,,,,,,,,,
Malk Family Vineyards,5850 Silverado Trail,Napa,www.malkfamilyvineyards.com,258-3072,X,Private,,,Used to be Griffin Vineyards,,,,,,,,
Maltus,,,www.maltus.com,,,,,,World's End Wines,,,,,,,,
Manifesto! Wines,,,www.manifestowines.com,252-8201,,Private,,,Sonoma fruit also?,,,,,,,,
Mansfield Winery,1291 Conn Valley Road,St. Helena,www.mansfieldwinery.com,963-1987,X,Private,,,,,,,,,,,
Mapson Cellars,,,www.mapsoncellars.com,,,Private,,,,,,,,,,,
Marco Digiulio,P.O. Box 1072,Calistoga,www.marcowine.com,942-6144,X,Private,,,,,,,,,,,
Mark Herold Wines,710 First Street,Napa,www.heroldwines.com,256-3111,X,No,,No,Napa winery but mostly non Napa fruit,,,,,,,,
Marketta Wine,528 Coombs Street,Napa,www.markettawine.com,226-5944,X,Private,,,,,,,,,,,
Mario Bazan Cellars,P.O. Box 2632,Yountville,www.mariobazancellars.com,255-0718,X,Private,,,SILENUS VINTNERS,,,,,,,,
Maritas Vineyard,P.O. Box 4164,Napa,www.maritasvineyard.com,259-5313,X,Private,,,,,,,,,,,
Marke Wines,,,www.markewines.com,,,,,,,,,,,,,,
Markham Vineyards,2812 St. Helena Highway N,St. Helena,www.markhamvineyards.com,963-5292,X,No,,,Glass Mountain Wines,,,,,,,,
Maroon Wines,3565 Hagen Road,Napa,www.maroonwines.com,257-3040,X,Private,,,Also Crauford Wines,,,,,,,,
Marshall family Wines,P.O. Box 257,Calistoga,www.marshallwines.com,968-5228,,Private,,,,,,,,,,,
Marston Family,3600 White Sulphur Springs Rd,St. Helena,www.marstonfamilyvineyard.com,963-8490,X,Yes,,,,,,,,,,,
Martin Estate,P.O. Box 390,Rutherford,www.martinestate.com,967-0300,X,Yes,,,,,,,,,,,
Mascot Wine,,,www.mascotwine.com,,,,,,,,,,,,,,
Mason Cellars,714 First St,Napa,www.masoncellars.com,963-5292,X,No,,,,,,,,,,,
Massican,1518 Filmore Street,Calistoga,www.massican.com,709-8400,X,Private,,,,,,,,,,,
Match Vineyards,3060 White Sulpher Springs Rd,St. Helena,www.matchvineyards.com,968-9040,X,Private,,,,,,,,,,,
Materra Wines,,St. Helena,www.materrawines.com,815 385-3871,X,Yes,,,,,,,,,,,
Matthiasson Vineyards,P.O. Box 10880,Napa,www.matthiasson.com,265-9349,X,Yes,,,SILENUS VINTNERS,,,,,,,,
Mayacamas Vineyards,1155 Lokoya Road,Napa,www.mayacamas.com,224-4030,X,Yes,,BApp,,,,,,,,,
Mayback Family Vineyards,P.O. Box 360,Vineburg,www.maybachwines.com,415 922-1099,,Private,,,,,,,,,,,
McGah Family Cellars,,,www.mcgcellars.com,,,,,,,,,,,,,,
Mckenzie-Mueller,2530 Las Amigas Road,Napa,www.mckenziemueller.com ,252-0186,X,Yes,,BApp,,,,,,,,,
Meander Cellars,P.O. Box 146,St. Helena,www.meanderwines.com,963-3773,X,Private,,,,,,,,,,,
Melanson Vineyard,1537 Sage Canyon Road,St. Helena,www.melansonvineyard.com,963-7404,,Private,,,,,,,,,,,
Melka Wines,P.O. Box 82,Oakville,www.melkawines.com,963-6008,,,,,VC & Montbleau Estate,,,,,,,,
Memento Mori,,,www.mmwine.com,,,,,,,,,,,,,,
Mendelson Wines,809 Coombs Street,Napa,www.mendelsonwines.com,255-7825,,Private,,,Also non Napa fruit,,,,,,,,
Merryvale,1000 Main St,St. Helena,www.merryvale.com,963-7777,X,No,,BApp,www.altuswinery.com,,,,,,,,
Merus Wines,P.O. Box 360,Napa,www.meruswines.com,251-5551,X,Private,,,"Altus, 2nd label - Crystal Springs Road",,,,,,,,
Metaphora Wines,,,www.metaphorawines.com,,,,,,,,,,,,,,
Meteor Vineyard,1510 Diamond Mtn Road,Calistoga,www.meteorvineyard.com,258-2900,X,Private,,,Barry & Tracy Schuler,,,,,,,,
MGTA Wines,,,www.mtgawines.com,,,,,,,,,,,,,,
Mi Sueno Winery,910 Enterprise Way #M,Napa,www.misuenowinery.com,258-6358,X,Private,,,"VC, Herrera Label",,,,,,,,
Michael Pozzan Winery,7830-40 St. Helena Hwy Ste. 122,Oakville,www.michaelpozzanwinery.com,800 848-9630,,Private,,,"NAPA WINE CO, Annabella, Dante, and Contrada",,,,,,,,
Michael Scott Wines,2993 Brookwood Drive,Napa,www.premierwinebrokers.com,226-1622,,Yes,,,"Michael Soctt, Centerpiece wines",,,,,,,,
Midsummer Cellars,107 Lilac Lane,St. Helena,www.midsummercellars.com,967-0432,X,Yes,,,Physical winery: Sage Canyon Road,,,,,,,,
Mike & Molly Hendry,,,www.mikeandmollyhendry.com,,,,,,,,,,,,,,
Milat Vineyards,1091 St. Helena Hwy. S,St. Helena,www.milat.com,963-0758,X,No,,,,,,,,,,,
Miller Wine Works,P.O. Box 3148,Napa,www.millerwineworks.com,254-9727,X,Yes,,BApp,# Wine made in Solano County,,,,,,,,
Minds Eye Winery,1241 Adams St. #1067,St. Helena,www.mindseyewinery.com,266-8457,,Private,,,,,,,,,,,
Miner Family Vineyards,7850 Silverado Trail,Oakville,www.minerwines.com,944-9500x17,X,No,Yes,BApp,,,,,,,,,
Mira Winery,,,www.miranapa.com,,,,,,,,,,,,,,
Mirror Wine Company,1360 Main Street Suite A,St. Helena,www.mirrorwine.com,968-5052,X,Private,,,Made at Napa Wine Co,,,,,,,,
Mithra Winery,,,www.mithrawinery.com,,,,,,,,,,,,,,
Modus Operandi,5225 Solano Avenue,Napa,www.moduswines.com,257-2399,X,Yes,,,SILENUS VINTNERS,,,,,,,,
Moffett Vineyards,P.O. Box 6078,St. Helena,www.livingston-wines.com,965-3694,X,Yes,,,"ctcellars.com, guagewines.com, screenplay",,,,,,,,
Montagna Vineyards,1521 Sage Canyon Road,St. Helena,www.montagnanapavalley.com,963-8651,X,Yes,,,,,,,,,,,
Monticelli Bros,4446 Stillson St,Napa,www.monticellibros.com,255-9100,X,Private,,,,,,,,,,,
Monticello Vineyards,4242 Big Ranch Road,Napa,www.corleyfamilynapavalley.com,253-2802x16,X,No,,BApp,Corley Family Label,,,,,,,,
Moon Tsai,P.O. Box 565,Rutherford,www.moonetsai.com,812-8860,X,Private,,,,,,,,,,,
Morey Wine Cellars,P.O. Box 4261,Napa,www.moreycellars.com,226-2348,,Yes,,,,,,,,,,,
Morlet Family Wines,Rockland Road,St. Helena,www.morletwine.com,967-8690,X,Yes,,,,,,,,,,,
Moss Creek Winery,6015 Steele Canyon Road,Napa,www.mosscreekwinery.com,252-1295,X,Yes,Yes,BApp,,,,,,,,,
Mount Veeder Springs,1477 Partrick Road,Napa,,858 756-6150,,Private,,,,,,,,,,,
Mt. Brave Wines,,,www.mtbravewines.com,,,,,,,,,,,,,,
MTGA Wines,,,www.mtgawines.com,,,,,,,,,,,,,,
Mueller Family Vineyards,1515 Diamond Mountain Rd,Calistoga,www.muellerfamilyvineyards.com,942-5662,X,Private,,,,,,,,,,,
Muir-Hanna Vineyards,1240 Orchard Ave,Napa,www.muir-hanna.com,224-2114,X,Private,,,,,,,,,,,
Mumm Napa,8445 Silverado Trail,Napa,www.mummnapa.com,967-7700,X,No,,Yes,,,,,,,,,
Murphy Wines,1120 Pope Street Ste. 102,St. Helena,www.murphyvineyards.com,967-4272,X,Private,,,,,,,,,,,
Musante Family Vineyards,1532 Silverado Trail,,www.musantefamilyvineyards.com,927-5336,,Private,,,,,,,,,,,
MX Wines,1348-B Lincoln Ave,Calistoga,www.mxwines.com,942-1119,,Private,,,Wine made by Enoteca Wine Shop,,,,,,,,
Myriad Cellars,P.O. Box 2016,St. Helena,www.myriadcellars.com,287-1630,X,Private,,,,,,,,,,,
Myuge,,,www.myugewines.com,,,,,,,,,,,,,,
Napa Angel,,Napa,www.napaangel.com,,,Private,,,Made at Artesa,,,,,,,,
Napa Cellars,2812 St. Helena Highway N,St. Helena,www.napacellars.com,963-5292,X,No,,,,,,,,,,,
Napa Smith Winery,1 Executive Way,Napa,www.napasmithbrewery.com,255-2912,X,No,,,,,,,,,,,
Napa Station,447 Aviation Blvd #106,Santa Rosa,www.napastation.com,284-1094,X,Private,,,,,,,,,,,
Napa Valley College Estate,2277 Napa Vallejo Highway,Napa,www.nvcwinery.com,253-3259,X,Yes,,,,,,,,,,,
Napa Valley Farms,929 Highway 29,St. Helena,www.napavalleyfarms.com,800 341-4993,X,Private,,,,,,,,,,,
Napa Wine Co,7830-40 St. Helena Hwy,Oakville,www.napawineco.com,944-1710,X,No,,,"Collective: Ghost Block, NWCo, Elizabeth Rose",,,,,,,,
Narsai & Venus David Vnyrds,350 Berkely Park Blvd #5,Berkeley,www.narsaiwine.com,510 527-7900,,Private,,,,,,,,,,,
Neal Family Vineyards,716 Liparita Road,Angwin,www.nealvineyards.com,965-2800,X,Yes,Yes,,29 Songs,,,,,,,,
Neiman Cellars,631 River Glen Drive,Napa,www.neimancellars.com,224-9923,,Private,,,,,,,,,,,
Nemerever Vineyards,P.O. Box 366,Oakville,www.nemerever.com,617 734-9319,,Private,,,,,,,,,,,
Nepenthes Vineyard,Gordon Valley Road,Napa,www.nepenthesvineyard.com,427-1800,,Private,,,,,,,,,,,
Newton Vineyards,2555 Madrona Ave,St. Helena,www.newtonvineyard.com,963-9000,X,Yes,,,,,,,,,,,
Next Door Wine,,,www.nextdoorwine.com,,,,,,,,,,,,,,
Neyers Vineyards,2153 Sage Canyon Road,St. Helena,www.neyersvineyards.com,963-8840,X,Yes,Yes,,Tues-Sat,,,,,,,,
Nichelini Winery,2950 Sage Canyon Road,St. Helena,www.nicheliniwinery.com,963-0717,X,No/Yes,,BApp,Weekdays for App,,,,,,,,
Nicholson Jones,,,www.nicholsonjones.com,,,,,,,,,,,,,,
Nickel & Nickel,8164 St. Helena Highway ,Oakville,www.nickelandnickel.com,967-9600,X,Yes,,BApp,,,,,,,,,
Nicolette Christopher,229 Silverado Springs Drive,Napa,www.nicolettechristopher.com,265-0932,,Private,,,,,,,,,,,
Nine North Wines,5584 Silverado Trail,Napa,www.ninenorthwines.com,226-5511,,Private,,WN W,"7Sinners, 20Bench, Parcel41, 10mile, Wnickel, CL",,,,,,,,
Noble Family,,,www.noblefamilywines.com,,X,,,,,,,,,,,,
Nord Estate Wines,P.O. Box 2676,Yountville,www.nordestatewines.com,945-1094,X,Private,,,,,,,,,,,
Northfield Wines,4205 Big Ranch Road,Napa,www.northfieldwines.com,254-7749,,Private,,,"Small Winery, Napa & New Zealand!",,,,,,,,
Notre Vin,1127 Pope Street Ste. 105,St. Helena,www.notrevin.com,318-3112,X,Private,,,,,,,,,,,
Nova Wines,P.O. Box 1014,St. Helena,www.marilynmerlot.com,963-5475,X,Yes,,,"NAPA WINE CO, also Uvada Wine",,,,,,,,
Oak Cliff Cellars,1471 First Street,Calistoga,www.oakcliffcellars.com,877 821-5304,,Private,,,,,,,,,,,
Oakville Cross Wines,P.O. Box 125,Oakville,www.oakvillecrosswines.com,944-9200,X,Private,,,,,,,,,,,
Oakville East,7730 Silverado Trail,St. Helena,www.oakvilleeast.com,337-2035,X,Private,,,,,,,,,,,
Oakville Ranch,7781 Silverado Trail,Oakville,www.oakvilleranchvineyards.com,944-9665,X,Yes,,,MERITAGE,,,,,,,,
Oakville Terraces,,Oakville,www.oakvilleterraces.com,,,Private,,,,,,,,,,,
O'Brien Estate Winery,1200 Orchard Ave,Napa,www.obrienestate.com,252-8463,X,Yes,,,Seduction Wine,,,,,,,,
O'Connell Family,4104 Dry Creek Road,Napa,www.oconnellfamilywines.com,257-2600,,Private,,,"Gabrielle, Pietro, CE",,,,,,,,
Odette Estate,5998 Silverado Trail,Napa,www.odetteestate.com,224-7533,X,No,,,,,,,,,,,
Olabisi Wines,974 Lincoln Street,Napa,www.olabisiwines.com,803-0333,X,Yes,,,Tasting room in Napa,,,,,,,,
Oliver Caldwell Cellars,3480 St. Helena Highway,St. Helena,www.caldwellcellars.com,963-2037,,Private,,,Still making wine?? 4.10.13,,,,,,,,
On Q,,,www.onqwines.com,,,,,,,,,,,,,,
One Acre,P.O. Box 3674,Yountville,www.oneacrewines.com,337-0379,X,Private,,,,,,,,,,,
Opus One Winery,7900 St. Helena Highway,Oakville,www.opusonewinery.com,944-9442,X,Yes,,BApp,,,,,,,,,
Orin Swift Cellars,116 E. First Street,Napa,www.orinswift.com,967-9179,X,Yes,,,"Mercury Head, Prisoner, Veladora",,,,,,,,
Oro Puro Vineyards,P.O. Box 6230,Napa,www.oropurovineyards.com,252-9222,,Private,,,# Wine made in Fairfield,,,,,,,,
O'Shaugnessey Estate,Call for directions,Angwin,www.oshaughnessywinery.com,965-2898,X,Yes,Yes,,Progeny Wines,,,,,,,,
Ostreon Cellars,P.O. Box 3270,Yountville,www.ostreoncellars.com,737-6188,,Private,,,,,,,,,,,
Outpost Wines,2075 Summit Lake Drive,Angwin,www.outpostwines.com,965-1718,X,Yes,,,,,,,,,,,
Ovid Winery,255 Long Ranch Road,St. Helena,www.ovidvineyardsstore.com,963-3850,X,Private,,,,,,,,,,,
Page Wine Cellars,1370 Trancas Street #343,Napa,www.pagewinecellars.com,255-4665,X,Private,,,,,,,,,,,
Pahlmeyer Winery,P.O. Box 2410,Napa,www.pahlmeyer.com,255-2321,X,Private,,,"NAPA WINE CO, Jayson Label",,,,,,,,
Palazzo Wine,3940 Laurel Cnyn Blvd 987,Studio City,www.palazzowine.com,425-5575,,Private,,,,,,,,,,,
Palladian Estate Winery,690 Meadowood Lane,St. Helena,www.heronlakewinery.com,963-2108,X,Private,,,Meadowood Lane Winery,,,,,,,,
Palmaz Vineyards,4029 Hagen Road,Napa,www.palmazvineyards.com,226-5587,X,Yes,Yes,Yes,Cedar Knoll Vineyards,,,,,,,,
Paloma Vineyard,4013 Spring Mountain Road,St. Helena,www.palomavineyard.com,963-7504,X,Yes,,,,,,,,,,,
Paoletti Estates,4501 Silverado Trail,Calistoga,www.paolettivineyards.com,942-0689 ,X,Yes,Yes,,,,,,,,,,
Paradigm Winery,1277 Dwyer Road,Oakville,www.paradigmwinery.com,944-1683,X,Yes,,BApp,,,,,,,,,
Parador Cellars,P.O. Box 3298,Yountville,www.paradorcellars.com,256-1770,X,Private,,,,,,,,,,,
Paraduxx,7257 Silverado Trail,Napa,www.paraduxx.com,945-0890,X,Yes,,,,,,,,,,,
Parallel Wines,2920 Spring Mountain Rd #A,St. Helena,www.parallelwines.com,486-1100,X,Private,,,VINTNER'S COLLECTIVE,,,,,,,,
Paratus,1945 Mt. Veeder Road,Napa,www.paratuswine.com,253-1722,,Private,,,,,,,,,,,
Parry Cellars,3424 Silverado Trail N,St. Helena,www.parrycellars.com,967-8160,X,Private,,,,,,,,,,,
Passenger Wine,,,www.passengerwine.com,,,,,,,,,,,,,,
Patel Winery,,,www.patelwinery.com,,,Private,,,,,,,,,,,
Patland Estate Vineyards,2431 Soda Canyon Road,Napa,www.patlandvineyards.com,888 539-4717,,Yes,,,,,,,,,,,
Patricia Howe Wines,1720 Spencer Street,Napa,www.patriciahowewines.com,258-1763,X,Private,,,Smalllest freestanding bonded winery!,,,,,,,,
Patz & Hall,851 Napa Vly Corp Way #A,Napa,www.patzhall.com,265-7700,X,Yes,No,,# Wine made in Sonoma,,,,,,,,
Pavi,750 Chiles Ave,St. Helena,www.paviwines.com,963-9566,X,Private,,,"NAPA WINE CO, Fisticuffs",,,,,,,,
PB Hein Vineyards,140 Pine Place,St. Helena,www.pbheinvineyards.com,967-8638,X,Private,,,,,,,,,,,
Peacock Family Vineyard,3100 Spring Mountain Rd.,St. Helena,www.peacockfamilyvineyard.com,967-0770,X,Yes,,,,,,,,,,,
Pedemonte Cellars,1151 Broadmoor Drive,Rutherford,www.pedemontecellars.com,933-8352,,Private,,,,,,,,,,,
Pedras Wine Company,5040 Silverado Trail,Napa,www.pedraswine.com,287-4925,,Private,,,MA(I)SONRY,,,,,,,,
Peju,8466 St. Helena Highway,St. Helena,www.peju.com,963-3600x333,X,No,,Yes,,,,,,,,,
Pellet Estate,,,www.pelletestate.com,,,,,,,,,,,,,,
Penche Wines,1251 Orchard Ave,Napa,www.penchewine.com,260-7653,,Private,,,,,,,,,,,
Perata Vineyards,P.O. Box 3388,Yountville,www.peratavineyards.com,944-2299,X,Private,,,,,,,,,,,
Perez Family Wines,,,www.perezfamilywines.com,,,Private,,,Long time family history in Napa,,,,,,,,
Perliss Vineyards,,,www.perlissvineyards.com,,,,,,,,,,,,,,
Peripoli Estate Winery,P.O. Box 282,Napa,www.peripolli.com,255-9992,,Private,,,,,,,,,,,
Perry Moore Wine,716 W. Whiting Ln,Arl Heights,www.perrymoore.com,968-0888,,Private,,,,,,,,,,,
Peter Franus Wines,P.O. Box 10575,Napa,www.peterfranus.com,945-0542,X,Yes,,,,,,,,,,,
Phelan Vineyard,1003 Dealy Lane,Napa,www.phelanvineyard.com,257-6175,X,Private,Yes,,VINTNER'S COLLECTIVE,,,,,,,,
Philip Togni Vineyard,3780 Spring Mountain Road,St. Helena,www.philiptognivineyard.com,963-3731,X,Private,,,"Mailing List customers, taste only",,,,,,,,
Phipps Family Cellars,700 Technology Way,Napa,www.pfcwine.com,265-0677,,Private,,,,,,,,,,,
Phiver Pavitt,4660 Silverado Trail,Calistoga,www.phiferpavittwine.com,942-4787,X,Private,,,,,,,,,,,
Phoenix Ranch,1531 Atlas Peak Road,Napa,www.phoenixranchwines.com,254-1077,,Yes,,,1-877-374-6364,,,,,,,,
Pillar Rock Vineyard,6110 Silverado Trail,,www.pillarrockvineyard.com,945-0101,,Private,,,,,,,,,,,
Pina Cellars,8060 Silverado Trail,Napa,www.pinanapavalley.com,738-9328,X,Yes,,BApp,,,,,,,,,
Pine and Brown,,,www.pineandbrown.com,,,,,,,,,,,,,,
Pine Ridge Winery,5901 Silverado Trail,Napa,www.pineridgewinery.com,253-7500,X,Yes,Yes,BApp,,,,,,,,,
Pink Girl Wines,P.O. Box 854,Napa,www.pinkgirlwines.com,255-7357,,Private,,,,,,,,,,,
Plumpjack,620 Oakville Cross Road,Oakville,www.plumpjackwinery.com,945-1220,X,No,,,,,,,,,,,
Polaris Wines,855 Bordeaux Way St. 860,Napa,www.polariswines.com,259-0476,X,Yes,,,Heritance Wines,,,,,,,,
Pope Valley Winery,6613 Pope Valley Road,Pope Valley,www.popevalleywinery.com,965-1246,X,No,,,,,,,,,,,
Porter Family Vineyards,1189 Green Valley Road,Napa,www.porterfamilyvineyards.com,265-7980,X,Private,Yes,,,,,,,,,,
Portfolio Winery,86 El Nido Drive,Napa,www.portfoliowinery.com,265-6555,X,Private,,,Donates Magnums to Lao Charity,,,,,,,,
Pott Wines,2272 Mount Veeder Road,Napa,www.pottwines.com,226-3277,X,Private,,,Chester's Anvil,,,,,,,,
Prager Winery & Portworks,1281Lewelling Ln,St. Helena,www.pragerport.com,963-7678,X,No,,,,,,,,,,,
Prestwood Cellars,,,www.prestwoodcellars.com,,,Private,,,,,,,,,,,
Pride Mountain Wines,4026 Spring Mountain Road,St. Helena,www.pridewines.com,963-4949,X,Yes,Yes,,Curvature Wines,,,,,,,,
Prime Cellars,P.O. Box 4233,Napa,www.primenapawine.com,258-9773,X,No,,,"Shared TC, Trahan City of Napa",,,,,,,,
Progeny,,,www.progenywinery.com,,,,,,,,,,,,,,
Promise Wine,1091 Larkmead Lane ,Calistoga,www.promisewine.com,944-2565,,Private,,,,,,,,,,,
Provenance Vineyards,1695 St Helena Hwy,St. Helena,www.provenancevineyards.com,968-3633,X,No,,Yes,Hewitt Vineyard/Label,,,,,,,,
Pulido Walker,,,www.pulidowalker.com,,,,,,,,,,,,,,
Punch Vineyards,,,www.punchvineyards.com,,,,,,,,,,,,,,
Punk Dog Wines,918 Enterprise Way #G,Napa,www.punkdogwines.com,253-9338,X,Private,,,"dacalier.com, madisonchasevineyards.com",,,,,,,,
Pure Cru Wines,451 Gateway Road West,Napa,www.purecruwines.com,603-2943,X,No,,,,,,,,,,,
Purlieu Wines,,Napa,www.purlieuwines.com,287-9856,,Private,,,,,,,,,,,
Pushback Wines,,Napa,www.pushbackwines.com,,,Private,,,See Facebook page,,,,,,,,
Quill Wines,3340 Redwood Road,Napa,www.quillwine.com,738-5069,,Private,,,,,,,,,,,
Quintessa,1601 Silverado Trail,Rutherford,www.quintessa.com,967-1601,X,Yes,Yes,BApp,Faust Wines - we've also tasted,,,,,,,,
Quivet Cellars,P.O. Box 2016,St. Helena,www.quivetcellars.com,287-1630,X,Private,,,,,,,,,,,
Quixote Winery,6126 Silverado Trail,Napa,www.quixotewinery.com,944-2659,X,Yes,No,,Panza = another label,,,,,,,,
R.H. Harrison,P.O. Box 5933,Napa,www.raharrisonfamilycellars.com,815-3569,X,Private,,,,,,,,,,,
Rahn Estate,1575 Deer Park Road,Angwin,www.rahnestate.com,965-1575,,Private,,,,,,,,,,,
Ramian Estate,5225 Solano Avenue,Napa,www.ramianestate.com,287-2721,X,Private,,,SILENUS VINTNERS,,,,,,,,
Ramspur Winery,3100 Old Sonoma Road,Napa,www.ramspurwinery.com,927-6300,X,Private,,,,,,,,,,,
Random Ridge,P.O. Box 691,Glen Ellen,www.randomridge.com,938-9085,X,Private,,,"# Wine made in Sonoma C., Mt. V.",,,,,,,,
Rare Cat Wines,P.O. Box 801,Rutherford,www.rarecatwines.com,968-5031,X,Private,,,,,,,,,,,
Raymond Vineyards,849 Zinfandel Lane,St. Helena,www.raymondvineyards.com,963-3141,X,No,,BApp,Amberhill,,,,,,,,
Razi Winery,3108 Silverado Trail,Napa,www.raziwinery.com,224-4299,X,Yes,,,,,,,,,,,
RD Winery,,,www.rdwinery.com,,,,,,,,,,,,,,
